order_id,customer_id,product_category,price_inr,discount_pct,payment_method,customer_tenure_days,num_previous_orders,num_previous_returns,delivery_distance_km,delivery_days,is_weekend_order,rating_given,returned
95,51661,Electronics,25280.52,0.2,Wallet,1054,24,1,194.5,6,0,1.0,0
96,57530,Home,6158.76,16.2,COD,3,0,0,123.6,4,0,5.0,0
97,35699,Electronics,19977.29,13.4,COD,246,0,0,444.8,5,1,5.0,0
98,98275,Apparel,598.83,22.7,Prepaid_Card,189,0,0,211.7,4,1,3.0,0
99,28715,Apparel,2211.02,21.2,Prepaid_Card,2,2,0,122.8,1,1,3.0,0
100,22181,Beauty,1886.09,14.2,COD,775,15,8,512.3,5,0,2.0,1
101,22117,Beauty,566.39,13.7,Prepaid_Card,41,0,0,223.6,2,1,2.0,0
102,31762,Footwear,2831.31,20.9,COD,194,2,0,139.1,4,1,3.0,0
103,10723,Apparel,1245.94,33.5,Prepaid_UPI,171,1,0,179.8,2,1,,0
104,63145,Beauty,1861.77,23.9,Prepaid_UPI,520,8,2,342.4,4,0,4.0,0
105,94345,Footwear,3848.78,39.9,Prepaid_Card,204,7,0,293.4,3,0,1.0,0
106,75383,Footwear,4048.72,35.9,Wallet,137,2,0,251.2,5,1,1.0,0
107,78115,Electronics,35197.25,41.0,Wallet,114,4,1,93.6,6,1,4.0,0
108,86792,Apparel,572.21,39.2,COD,430,11,4,492.7,5,0,4.0,1
109,60982,Apparel,1005.58,41.9,COD,89,2,0,372.0,2,1,3.0,1
110,69490,Beauty,199.44,3.9,Prepaid_Card,674,17,3,647.7,1,1,4.0,0
111,80658,Electronics,23277.43,29.1,COD,17,0,0,213.0,2,0,4.0,0
112,12488,Apparel,1273.27,37.1,COD,215,8,2,222.4,7,0,3.0,0
113,36198,Electronics,36982.02,39.6,COD,448,12,1,43.5,9,1,3.0,0
114,29447,Home,2923.2,9.2,Wallet,406,11,1,193.8,3,1,3.0,0
115,62730,Apparel,1707.71,29.2,Prepaid_Card,347,4,0,70.3,2,0,1.0,0
116,59332,Beauty,1024.08,21.1,Prepaid_UPI,136,3,1,183.0,7,1,3.0,0
117,25905,Footwear,2600.54,45.9,COD,393,3,1,415.8,4,1,1.0,0
118,21148,Footwear,4456.08,0.6,COD,761,21,0,289.7,4,0,4.0,0
119,85870,Electronics,4505.85,9.2,Prepaid_UPI,566,10,2,435.0,5,1,1.0,0
120,22141,Home,5470.35,0.0,COD,239,3,0,356.3,3,0,2.0,0
121,83322,Home,6174.19,22.0,COD,341,3,1,192.2,3,1,3.0,0
122,83122,Home,10878.37,51.7,COD,27,0,0,103.3,4,1,,0
123,84283,Apparel,778.33,19.4,Prepaid_UPI,310,6,3,366.3,4,1,2.0,0
124,77733,Electronics,47423.24,21.4,COD,18,5,1,213.1,1,1,1.0,0
125,82066,Apparel,2495.19,27.7,COD,154,5,1,400.5,3,1,,1
126,28083,Electronics,41126.6,18.4,COD,713,14,1,263.1,4,0,5.0,0
127,41514,Electronics,15685.91,25.1,COD,187,0,0,292.1,3,0,,0
128,54389,Apparel,1777.31,25.5,COD,367,1,0,351.2,5,1,5.0,0
129,89582,Apparel,528.77,8.2,Prepaid_Card,218,1,0,462.3,3,0,3.0,0
130,98125,Home,13133.55,18.7,COD,186,0,0,208.5,8,1,4.0,1
131,43454,Apparel,1459.38,30.4,COD,733,17,0,212.6,5,0,,0
132,63224,Beauty,652.85,33.0,Prepaid_Card,1015,22,5,341.3,5,0,5.0,1
133,95395,Home,5247.54,38.2,Prepaid_UPI,171,3,0,139.1,3,0,2.0,0
134,75132,Electronics,40236.39,24.7,COD,123,0,0,327.8,4,1,3.0,0
135,54169,Home,13118.29,25.0,COD,126,3,0,357.7,1,0,4.0,0
136,68873,Apparel,1467.38,30.5,COD,290,2,1,694.6,5,0,2.0,1
137,91827,Beauty,1518.89,11.7,Wallet,565,12,1,319.0,8,0,5.0,0
138,47734,Electronics,37786.0,11.1,COD,581,15,4,442.7,6,1,3.0,1
139,69913,Footwear,5044.04,18.3,COD,143,2,0,188.5,1,1,5.0,1
140,83540,Apparel,1994.42,2.1,Prepaid_Card,13,1,0,179.1,5,0,5.0,0
141,51825,Electronics,19836.97,25.7,COD,129,0,0,223.3,5,0,3.0,0
142,17042,Electronics,32454.36,34.7,COD,539,5,0,158.1,8,1,,1
143,17793,Beauty,2593.48,10.1,COD,417,10,1,325.4,3,0,3.0,0
144,64539,Home,2700.53,26.1,Prepaid_Card,710,18,0,131.5,9,0,5.0,0
145,13262,Electronics,20018.7,11.2,Prepaid_Card,1415,30,4,126.6,5,1,4.0,0
146,47054,Apparel,471.73,5.8,Prepaid_UPI,83,8,1,119.6,3,1,4.0,0
147,12184,Electronics,21034.99,48.8,Prepaid_UPI,196,0,0,294.2,1,0,2.0,0
148,88793,Home,11698.09,6.0,COD,446,7,4,127.0,4,1,1.0,0
149,83542,Electronics,10654.39,2.1,Wallet,594,13,0,126.5,5,1,5.0,0
150,65731,Apparel,1515.06,23.0,Prepaid_UPI,383,9,0,128.0,2,1,5.0,1
151,89737,Footwear,701.22,23.8,Prepaid_UPI,703,13,0,43.9,6,1,4.0,1
152,34487,Beauty,2708.3,29.3,Prepaid_UPI,68,0,0,173.2,6,0,1.0,0
153,93804,Apparel,2113.01,48.0,COD,40,2,1,331.1,5,0,1.0,0
154,78694,Home,8103.93,9.1,COD,101,2,0,309.9,3,0,5.0,0
155,90419,Apparel,1867.44,11.9,Prepaid_Card,739,15,0,315.6,5,1,1.0,0
156,45570,Home,2006.78,42.5,COD,115,4,0,355.5,8,0,,1
157,32112,Apparel,2167.2,33.1,Prepaid_Card,199,4,0,335.1,3,0,2.0,0
158,79921,Home,10871.29,31.2,COD,2226,49,13,188.6,1,0,2.0,0
159,52378,Footwear,1159.82,11.7,COD,671,14,3,340.3,4,1,,0
160,20198,Footwear,5893.79,35.8,Wallet,108,0,0,115.9,3,1,2.0,0
161,99039,Apparel,398.44,31.2,Prepaid_UPI,38,0,0,248.7,1,1,5.0,0
162,42932,Beauty,1941.26,22.7,Prepaid_Card,216,3,0,119.5,5,0,5.0,0
163,27582,Apparel,719.27,11.8,COD,982,21,1,160.7,2,0,1.0,0
164,61139,Apparel,1896.4,21.5,Prepaid_Card,91,0,0,459.8,2,0,4.0,0
165,52164,Home,1520.89,43.1,Prepaid_UPI,154,6,3,191.0,6,0,4.0,0
166,21287,Electronics,4973.94,4.7,Prepaid_UPI,237,5,0,160.2,7,0,2.0,0
167,47882,Footwear,3064.6,8.8,Prepaid_Card,425,6,0,382.0,10,1,5.0,1
168,55370,Footwear,5967.05,11.2,Prepaid_Card,423,14,3,150.5,1,0,2.0,1
169,42059,Electronics,14549.3,14.2,COD,1228,27,3,304.4,5,1,5.0,0
170,89333,Beauty,1895.71,19.8,Prepaid_UPI,68,0,0,263.3,2,0,5.0,1
171,66345,Apparel,1464.99,33.4,Wallet,1350,34,11,218.4,5,0,3.0,0
172,15756,Home,12710.73,26.5,Prepaid_Card,82,5,0,140.1,4,1,1.0,0
173,58880,Apparel,970.47,20.9,COD,193,1,0,531.2,1,0,2.0,0
174,49340,Beauty,1731.59,23.9,Prepaid_Card,109,1,1,155.8,6,1,4.0,0
175,91978,Apparel,2393.84,28.7,Prepaid_Card,409,7,1,474.0,4,0,4.0,0
176,81434,Apparel,1065.06,0.0,Wallet,75,0,0,316.2,6,0,4.0,0
177,40186,Electronics,22530.87,35.0,Prepaid_UPI,349,8,3,378.8,2,0,2.0,0
178,20677,Beauty,2683.12,8.4,COD,363,10,0,260.6,9,0,2.0,1
179,69754,Beauty,1097.62,13.8,COD,133,4,0,541.4,5,0,,0
180,14599,Footwear,2593.71,24.8,Prepaid_Card,421,9,0,620.1,5,0,,0
181,29970,Beauty,1016.74,18.9,COD,112,5,0,204.2,7,0,,0
182,53529,Beauty,2457.16,26.8,Prepaid_Card,126,0,0,161.6,4,0,5.0,0
183,92627,Home,13990.61,22.0,Prepaid_UPI,495,16,7,245.9,3,1,3.0,0
184,95120,Electronics,31923.85,15.9,Prepaid_UPI,37,0,0,198.9,7,0,1.0,0
185,16906,Footwear,3929.97,41.4,COD,83,0,0,433.7,4,0,4.0,0
186,69182,Home,6155.05,29.9,Prepaid_UPI,351,6,0,325.3,6,0,5.0,1
187,45273,Electronics,1611.7,24.2,Prepaid_UPI,67,0,0,109.1,4,0,5.0,0
188,87401,Apparel,723.97,29.7,COD,403,8,0,107.0,9,0,,0
189,89779,Footwear,1310.91,10.1,Prepaid_Card,287,5,0,269.1,4,0,5.0,0
190,94487,Apparel,599.15,50.4,Prepaid_Card,1020,23,4,432.1,3,1,4.0,0
191,75038,Beauty,2014.03,4.8,Prepaid_UPI,1180,23,1,145.2,5,0,4.0,0
192,56139,Apparel,643.15,21.6,COD,369,8,0,310.7,4,0,4.0,0
193,18762,Apparel,534.11,16.0,COD,429,6,0,356.9,3,0,1.0,0
194,16477,Footwear,2604.2,15.5,Prepaid_Card,1795,42,8,320.3,7,0,,0
195,52083,Apparel,885.4,13.6,COD,97,4,1,93.1,2,0,3.0,1
196,19245,Apparel,663.6,9.2,Prepaid_Card,61,1,0,183.8,7,0,1.0,0
197,57869,Home,2618.85,36.6,Prepaid_UPI,442,7,1,185.2,8,1,1.0,0
198,74404,Beauty,880.19,3.1,COD,91,2,0,357.3,4,1,4.0,0
199,60275,Apparel,1504.23,33.8,Prepaid_Card,145,0,0,173.9,5,0,1.0,1
200,69492,Electronics,38146.68,29.1,Wallet,913,20,3,111.6,3,1,3.0,0
201,75272,Footwear,5190.27,14.7,Prepaid_Card,694,14,8,344.6,7,1,4.0,1
202,30603,Beauty,2291.54,27.5,Prepaid_Card,289,14,9,131.9,2,0,4.0,0
203,51300,Home,9609.09,17.8,Prepaid_Card,289,2,0,74.0,6,1,5.0,0
204,78196,Apparel,2301.39,4.6,COD,654,6,5,180.2,4,0,1.0,1
205,60917,Apparel,1467.43,4.7,COD,188,2,0,79.9,3,1,1.0,1
206,31703,Apparel,1711.72,29.2,Prepaid_UPI,203,0,0,64.5,3,1,4.0,0
207,42774,Apparel,1234.98,28.4,COD,231,2,0,39.2,5,0,1.0,0
208,60460,Home,5247.07,23.4,COD,868,15,2,298.6,2,1,,0
209,20437,Apparel,1063.18,14.5,COD,127,0,0,235.6,6,1,5.0,0
210,43399,Home,2650.6,17.3,Prepaid_UPI,828,15,2,683.3,5,1,3.0,0
211,51873,Footwear,4881.29,15.4,COD,655,17,1,162.1,4,1,4.0,0
212,73249,Home,1302.84,0.0,Prepaid_UPI,259,5,1,505.3,5,0,2.0,0
213,53726,Apparel,1800.57,20.9,COD,309,10,1,308.2,3,1,2.0,0
214,71485,Footwear,5254.53,27.3,Prepaid_Card,1290,28,0,169.0,4,1,1.0,0
215,86800,Footwear,3235.86,20.9,COD,50,3,0,117.4,4,0,3.0,0
216,84198,Footwear,886.1,44.8,COD,238,4,1,268.2,2,1,,0
217,33726,Apparel,1271.1,5.9,Prepaid_Card,570,17,0,128.9,4,0,1.0,0
218,35314,Apparel,1087.94,10.7,Prepaid_UPI,550,13,2,265.1,1,1,2.0,0
219,99051,Beauty,2958.79,21.9,COD,202,2,0,126.3,3,1,4.0,0
220,46115,Electronics,34871.99,23.4,Prepaid_Card,2,1,0,103.5,1,0,2.0,0
221,21710,Electronics,36346.63,0.0,Prepaid_Card,1147,25,5,61.5,2,1,2.0,0
222,30365,Electronics,26275.52,28.4,COD,899,19,2,254.1,3,0,,0
223,28549,Home,10786.51,23.5,Prepaid_Card,186,4,0,221.7,5,1,4.0,0
224,57424,Beauty,2209.33,0.0,COD,107,4,3,101.2,3,0,1.0,1
225,72758,Apparel,492.67,18.4,Prepaid_Card,142,0,0,208.6,2,0,5.0,1
226,14000,Beauty,784.43,8.7,COD,279,5,1,81.0,4,0,4.0,1
227,72793,Apparel,377.88,13.7,Prepaid_Card,108,4,0,232.4,8,1,4.0,1
228,90501,Home,7892.21,1.3,COD,256,6,1,212.4,1,0,2.0,0
229,40409,Home,13199.1,25.8,Prepaid_Card,63,0,0,335.4,6,1,1.0,0
230,40535,Apparel,1660.54,44.7,Prepaid_Card,28,0,0,77.8,5,1,5.0,1
231,88356,Apparel,1425.45,23.7,Wallet,138,8,1,37.9,9,0,2.0,1
232,39544,Electronics,46372.33,0.0,Prepaid_Card,50,0,0,481.1,5,1,2.0,0
233,82102,Beauty,640.82,24.0,Prepaid_UPI,151,7,4,282.9,5,1,5.0,1
234,47121,Home,1581.76,17.3,COD,847,21,6,145.3,5,1,1.0,0
235,20331,Beauty,2764.32,4.6,COD,204,2,0,459.5,4,1,1.0,0
236,39508,Footwear,5465.3,25.0,COD,668,7,2,674.1,6,1,2.0,0
237,97772,Electronics,34465.65,32.3,Prepaid_Card,81,0,0,293.9,3,0,1.0,0
238,69367,Footwear,1852.89,10.6,Prepaid_UPI,894,19,3,208.7,11,1,4.0,0
239,74307,Apparel,2434.99,0.0,Prepaid_UPI,948,22,0,94.3,6,1,,1
240,94289,Apparel,1995.49,0.0,Prepaid_Card,208,1,0,176.0,4,0,5.0,0
241,48571,Footwear,4206.42,10.7,Prepaid_Card,9,0,0,94.1,4,0,4.0,0
242,55916,Footwear,1726.01,17.8,COD,479,11,5,290.4,4,1,4.0,0
243,76932,Apparel,1453.14,12.8,COD,147,6,3,790.9,4,1,4.0,1
244,82852,Home,12427.36,10.4,Prepaid_UPI,151,2,0,309.2,6,1,4.0,0
245,46558,Home,12973.77,28.0,COD,1306,30,12,460.0,5,1,3.0,0
246,39424,Beauty,1750.08,26.5,COD,25,1,1,204.4,7,0,2.0,1
247,40806,Home,8080.51,22.8,Wallet,373,10,0,285.1,3,1,3.0,0
248,47484,Electronics,35186.51,31.4,Wallet,364,5,0,187.2,4,0,5.0,0
249,15292,Electronics,26884.19,10.8,Prepaid_Card,131,0,0,74.8,3,1,3.0,0
250,91095,Electronics,21466.37,4.7,COD,152,2,0,47.6,4,1,2.0,0
251,50670,Home,1738.58,12.7,Prepaid_UPI,13,0,0,749.9,3,1,2.0,0
252,14744,Beauty,509.24,11.7,COD,119,0,0,155.7,6,1,2.0,0
253,98947,Electronics,38253.5,0.0,Prepaid_Card,71,0,0,206.8,3,1,2.0,1
254,55525,Apparel,403.03,12.4,COD,62,0,0,49.7,7,1,3.0,0
255,93498,Apparel,462.46,35.5,Wallet,58,0,0,188.2,7,1,1.0,1
256,84789,Footwear,5475.54,31.2,Wallet,62,1,1,346.4,6,1,4.0,1
257,85065,Footwear,4371.98,27.4,Prepaid_UPI,94,0,0,328.5,2,0,4.0,1
258,64680,Apparel,359.06,21.8,COD,155,0,0,234.3,7,1,5.0,1
259,67390,Apparel,1020.89,40.3,Prepaid_Card,147,6,2,359.0,4,1,3.0,0
260,19144,Home,11568.12,5.2,COD,580,12,1,158.4,4,1,2.0,1
261,17107,Apparel,1247.84,6.5,Prepaid_UPI,182,4,2,469.4,6,1,4.0,0
262,15411,Footwear,3078.39,35.7,COD,212,0,0,929.8,3,1,2.0,0
263,62095,Electronics,23481.15,20.4,COD,757,16,4,426.1,7,1,,0
264,89344,Apparel,784.59,10.6,Prepaid_UPI,66,0,0,209.2,6,0,5.0,0
265,46988,Beauty,2205.97,27.7,Prepaid_Card,136,1,0,135.8,10,1,1.0,0
266,46546,Apparel,571.46,13.9,Prepaid_UPI,22,0,0,96.9,5,0,5.0,1
267,67478,Apparel,1440.59,8.3,COD,42,0,0,227.1,4,0,5.0,0
268,51692,Apparel,715.41,7.9,Prepaid_UPI,63,7,0,97.2,9,0,3.0,0
269,82478,Apparel,450.05,24.5,COD,1312,28,1,266.0,1,0,3.0,0
270,26160,Apparel,657.97,22.9,COD,395,11,0,213.6,5,0,1.0,0
271,82292,Apparel,2219.07,41.2,Prepaid_Card,108,1,1,134.1,4,0,2.0,1
272,52260,Apparel,728.72,15.9,COD,185,3,2,243.4,7,0,,0
273,23543,Apparel,948.49,15.7,Prepaid_Card,6,0,0,259.3,11,0,5.0,0
274,47417,Home,2502.37,40.2,COD,1007,26,1,307.9,3,1,,0
275,76014,Footwear,4545.5,33.8,COD,919,21,1,221.3,7,1,1.0,0
276,80307,Electronics,22827.01,22.0,Prepaid_UPI,565,10,2,293.7,7,1,3.0,0
277,81858,Electronics,47238.12,0.0,COD,5,0,0,446.8,7,0,2.0,0
278,18395,Home,10132.71,8.6,Prepaid_UPI,152,6,2,103.6,5,1,1.0,0
279,28135,Beauty,1664.46,5.2,Prepaid_UPI,484,2,0,99.3,6,0,2.0,1
280,67406,Beauty,2021.4,20.5,COD,411,10,2,351.1,3,1,4.0,0
281,88976,Apparel,436.91,12.9,Prepaid_UPI,32,2,2,155.6,8,0,,1
282,97409,Apparel,2393.92,42.4,COD,98,0,0,454.7,2,1,,1
283,23655,Apparel,2406.32,0.0,COD,13,0,0,392.9,3,0,2.0,0
284,36068,Apparel,943.7,3.7,COD,1993,45,5,462.5,4,1,4.0,1
285,84841,Home,9610.28,23.4,Prepaid_UPI,692,11,0,72.3,3,1,4.0,0
286,75191,Electronics,10893.85,27.3,Prepaid_Card,1124,27,3,214.7,5,0,2.0,0
287,40734,Apparel,1527.06,0.0,Prepaid_Card,37,1,0,295.2,4,0,4.0,0
288,18573,Electronics,38768.67,0.0,Wallet,875,18,0,114.4,3,0,,0
289,15960,Home,14127.42,16.3,COD,385,8,2,208.1,2,1,,1
290,53487,Apparel,1079.32,39.0,Prepaid_UPI,1339,31,1,273.9,7,0,4.0,0
291,19655,Footwear,4314.28,46.4,Prepaid_UPI,152,10,0,141.2,6,1,4.0,0
292,42533,Apparel,1890.32,14.2,Wallet,801,19,5,113.0,2,0,4.0,0
293,32003,Beauty,780.27,17.6,Wallet,588,15,6,180.8,6,1,3.0,1
294,74794,Apparel,1702.42,8.3,Wallet,895,20,3,476.0,4,0,5.0,0
295,71349,Footwear,4104.82,28.9,COD,485,16,0,306.1,1,0,3.0,0
296,96059,Beauty,2327.62,41.4,Prepaid_UPI,424,5,1,253.6,2,1,,1
297,38354,Beauty,2999.85,37.6,Prepaid_UPI,403,3,0,379.0,7,1,,1
298,78755,Footwear,721.28,19.6,Prepaid_Card,254,6,1,219.6,7,1,5.0,0
299,14003,Footwear,1612.68,8.3,COD,598,15,4,165.2,6,0,2.0,1
300,27102,Home,2603.64,20.1,Wallet,139,0,0,118.6,3,1,,0
301,76051,Footwear,1349.39,39.3,COD,606,13,2,196.5,6,1,,0
302,83629,Apparel,1326.63,14.4,Prepaid_Card,161,3,1,337.2,5,1,,0
303,67660,Home,13238.78,0.0,Prepaid_Card,1228,29,0,33.0,1,0,5.0,0
304,12770,Home,7006.49,15.0,COD,918,21,6,166.4,6,1,5.0,0
305,13018,Beauty,2055.17,16.1,Prepaid_UPI,92,0,0,204.8,5,1,3.0,1
306,71472,Electronics,19448.46,0.0,COD,358,4,1,164.4,9,1,3.0,0
307,15138,Electronics,16663.5,23.2,Prepaid_UPI,72,0,0,54.1,8,0,3.0,0
308,14227,Home,12596.41,27.1,Prepaid_UPI,358,10,0,386.6,4,1,1.0,0
309,82866,Apparel,1759.43,46.0,COD,52,2,0,296.0,5,0,1.0,1
310,85591,Apparel,1104.42,1.3,Prepaid_UPI,57,0,0,171.2,5,1,3.0,0
311,44992,Electronics,45793.85,30.2,COD,1066,24,2,369.5,4,0,3.0,0
